== manifest set: core (1 file(s)) ==
# Nominated rows -- review, then paste into realrom/manifest-gme.tsv.
# id is the containing directory name where the ROM sits in a per-title subdir
# (your game-music-extraction shorthand), else the file's base name.
donkey_kong_3_jue_b1	Donkey Kong 3 (JUE) [b1]	7573bdc8eb13282476e34433b78d54b151bb63773637c4e67c0b9e719fe56a4c	0	nes_nrom	donkey_kong_3_jue_b1.dump	
donkey_kong_classics_u	Donkey Kong Classics (U)	0618d75e209e78e24009909203f43a3aefac7ea1917019ff7447e58a46e9ca23	0	nes_nrom	donkey_kong_classics_u.dump	
donkey_kong_jr_ju	Donkey Kong Jr. (JU)	7d5f77878af7646296d994da14b25213741f6e0e0bc5deadd32a406d044a5788	0	nes_nrom	donkey_kong_jr_ju.dump	
double_dragon_u	Double Dragon (U)	eaeef33de58b18f3dcfa283c48c1fba7b70b3e522c84dee000cc8c1110156982	1	nes_mmc1	double_dragon_u.dump	
double_dragon_2_the_revenge_u_o2	Double Dragon 2 - The Revenge (U) [o2]	e77bf6ccdbbe59777fc46f86a6ea2b3c9f06470e48a2591c3c8657f47ff7a738	4	nes_mmc3	double_dragon_2_the_revenge_u_o2.dump	
double_dragon_2_the_revenge_u	Double Dragon 2 - The Revenge (U)	f6bf0d786168133ce5640a1e983d6cb2386261932798fbafb0dd809c05f51985	4	nes_mmc3	double_dragon_2_the_revenge_u.dump	
double_dragon_3_the_sacred_stones_u	Double Dragon 3 - The Sacred Stones (U)	6a10a2ec6dfc612f2e3b139f12623ac6bf0c1043710c9a56794719cc59f0d32e	4	nes_mmc3	double_dragon_3_the_sacred_stones_u.dump	
# already pinned as 'drmario': Dr Mario (JU) [o4]
dragon_quest_j	Dragon Quest (J)	1015ac9310a3c7e550e0623918a9834d39806f83138c47a71be61fd23faaa96b	3	nes_cnrom	dragon_quest_j.dump	
dragon_quest_2_j	Dragon Quest 2 (J)	24bf2e619f9561ffbc608ddfd0896f8536000254d291aaf5a156fe5969abac6d	2	nes_uxrom	dragon_quest_2_j.dump	
dragon_quest_3_j	Dragon Quest 3 (J)	d990781d6871e112fa82d9e65d43b37a6705abd0133150b1773d32bad5de4179	1	nes_mmc1	dragon_quest_3_j.dump	
dragon_quest_4_j_o1	Dragon Quest 4 (J) [o1]	9cf270716394debb99b9e0b1a9d5865849c4adde88a3dcd20d02d4db3fb949ea	1	nes_mmc1	dragon_quest_4_j_o1.dump	
dragon_warrior_prg_0_u_o1	Dragon Warrior (PRG 0) (U) [o1]	f61d66869215033dd1760b862026414595e8af5e8b1ad732e041c3a4bbd8facd	1	nes_mmc1	dragon_warrior_prg_0_u_o1.dump	
dragon_warrior_prg_0_u	Dragon Warrior (PRG 0) (U)	a7ecd04c70fff7ca3f0cd7e262377097305a30c9b5bfa27d7341f454e252be17	1	nes_mmc1	dragon_warrior_prg_0_u.dump	
dragon_warrior_2_u	Dragon Warrior 2 (U)	7e9adc109c4945af82443f41d70b84aab0d03ee34993fc99dab2090c4013b611	1	nes_mmc1	dragon_warrior_2_u.dump	
